path,dir,ext,size,description
tmp_typhoon_wind_field_text.txt,.,.txt,100020,文献或论文摘录文本，开头内容为“===== PAGE 1 =====”。它为项目算法设计和论文写作提供参考材料。
tmp_script_api_summary.json,.,.json,62812,"实验报告或运行清单 JSON 文件，顶层字段包括 build_dataset.py, build_ieee_subgrid.py, component_failure_probability.py, dispatch_optimization_module.py, download_data.py, export_standard_results.py, generate_mock_data.py, generate_scaled_topology.py, gnn_warning_module.py, gridagent_framework.py, load_prioritization_scheduling.py, module_sensitivity_analysis.py 等。它为对应流程提供参数、拓扑结构或结构化指标。"
tmp_load_priority_dispatch_opt.txt,.,.txt,47464,文本/日志文件，开头内容为“Journal of Electric Power Science and Technology Journal of Electric Power Science and Technology”。它记录运行输出、临时摘录或辅助分析内容。
tmp_H2DGL_pages5_8.txt,.,.txt,21403,文本/日志文件，开头内容为“===== PAGE 5 =====”。它记录运行输出、临时摘录或辅助分析内容。
tmp_gnn_warning_text.txt,.,.txt,100271,文献或论文摘录文本，开头内容为“===== PAGE 1 =====”。它为项目算法设计和论文写作提供参考材料。
tmp_DPGMN_text.txt,.,.txt,66474,文献或论文摘录文本，开头内容为“===== PAGE 1 =====”。它为项目算法设计和论文写作提供参考材料。
streamlit.stdout.log,.,.log,140,运行日志文件，首条有效内容为“You can now view your Streamlit app in your browser.”。末尾记录为“Network URL: http://10.208.18.139:8501”，可用于追踪实验或服务运行状态。
streamlit.stderr.log,.,.log,0,日志文件为空，说明该次运行没有写入 stderr/stdout 内容或已被清空。它主要用于排查 Streamlit 或批处理运行状态。
scripts.zip,.,.zip,388527,"ZIP 压缩包，包含 61 个条目。样例条目：scripts/, scripts/analyze_stage123_results.py, scripts/build_dataset.py, scripts/build_ieee_subgrid.py, scripts/component_failure_probability.py, scripts/dataset_config.example.json, scripts/dataset_config.formal_guangdong_2024.json, scripts/dispatch_optimization_module.py 等。"
requirements-dataset.txt,.,.txt,77,文本/日志文件，开头内容为“numpy”。它记录运行输出、临时摘录或辅助分析内容。
configs/multiscenario_fusion.formal2024.json,configs,.json,1419,"实验配置 JSON 文件，顶层字段包括 seed, output_root, base_inputs, typhoon_intensity_levels, wind_pv_variants, load_scenarios, env_sampling, strategy_pool。它为对应流程提供参数、拓扑结构或结构化指标。"
configs/gridagent_framework.ieee118_n60.metapath_opt124.json,configs,.json,3432,"实验配置 JSON 文件，顶层字段包括 seed, output_root, paths, wind_pv, failure, contingency, scheduling, warning, dispatch_optimization, baseline, adaptive_scheduler。它为对应流程提供参数、拓扑结构或结构化指标。"
configs/gridagent_framework.formal2024.quicktest.json,configs,.json,3131,"实验配置 JSON 文件，顶层字段包括 seed, output_root, paths, wind_pv, failure, contingency, scheduling, warning, dispatch_optimization, baseline, adaptive_scheduler。它为对应流程提供参数、拓扑结构或结构化指标。"
configs/gridagent_framework.formal2024.json,configs,.json,3565,"实验配置 JSON 文件，顶层字段包括 seed, output_root, paths, wind_pv, failure, contingency, scheduling, warning, dispatch_optimization, steady_state_physics, baseline, adaptive_scheduler。它为对应流程提供参数、拓扑结构或结构化指标。"
dashboard/README.md,dashboard,.md,912,Markdown 文档，主题为“GridAgent1 Visual Dashboard (Streamlit)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
dashboard/gridagent_dashboard.py,dashboard,.py,119814,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 safe_csv, safe_json, discover_standard_runs, discover_framework_runs, compute_bundle_cache_key, resolve_run_root, _pick_fallback_csv, load_metapath_attention_for_ui 等。"
dashboard/requirements-visualization.txt,dashboard,.txt,53,文本/日志文件，开头内容为“streamlit>=1.35”。它记录运行输出、临时摘录或辅助分析内容。
data_final/TRIM_input.csv,data_final,.csv,1662546,"表格数据文件，包含 约 8784 行数据。表头字段包括 timestamp, wind_wind_demo_wind_1mw, wind_wind_demo_wind_2mw, pv_pv_demo_pv_1mw, pv_pv_demo_pv_2mw, load_load_demo_load_node_1, load_load_demo_load_node_2, weather_weather_demo_temperature_c, weather_weather_demo_wind_speed_ms, weather_weather_demo_irradiance_wm2 等。"
data_final/grid_topology.json,data_final,.json,863,"电网拓扑 JSON 文件，顶层字段包括 nodes, lines, generators。它为对应流程提供参数、拓扑结构或结构化指标。"
results/load_prioritization_paper_extracted.txt,results,.txt,47705,文献或论文摘录文本，开头内容为“===== PAGE 1 =====”。它为项目算法设计和论文写作提供参考材料。
docs/稳态时电网状态文献分类.md,docs,.md,2133,Markdown 文档，主题为“稳态时电网状态文献分类”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/WORKSPACE_TREE_20260421.txt,docs,.txt,2728102,文本/日志文件，开头内容为“Folder PATH listing for volume Windows-SSD”。它记录运行输出、临时摘录或辅助分析内容。
docs/WORKSPACE_FILE_MANIFEST_20260421.csv,docs,.csv,10103089,"表格数据文件，包含 约 95849 行数据。表头字段包括 path, type, size_bytes, last_write_time。"
docs/STAGE8_UPDATE_REPORT_20260422.md,docs,.md,10389,Markdown 文档，主题为“Stage8 更新汇报文档”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/STAGE6_WARNING_UPLIFT_REPORT_20260408.md,docs,.md,5425,Markdown 文档，主题为“Stage6 预警能力提升汇报（2026-04-08）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/STAGE6_PLANA_C3PO_REF_REPORT_20260415.md,docs,.md,5513,Markdown 文档，主题为“Stage6 方案A（仅 c3po_ref）实验汇报”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/STAGE6_PLANA_A0A3_CODEPACK_FOR_GPT_20260415.md,docs,.md,9147,Markdown 文档，主题为“Stage6 PlanA A0-A3 Code Pack (For GPT)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
