timestamp,gen_id,bus,pmax,base_dispatch,reserve,base_plus_reserve
2024-09-01 00:00:00,TH0,0,1.2,0.8756776784250844,0.3243223215749156,1.2
2024-09-01 00:00:00,EMG_DG_1,1,0.18,0.0,0.07097388614418587,0.07097388614418587
2024-09-01 00:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 00:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 01:00:00,TH0,0,1.2,0.7827260376371323,0.37284995727480585,1.1555759949119382
2024-09-01 01:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 01:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 01:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 02:00:00,TH0,0,1.2,0.677171471025616,0.3511457614616711,1.0283172324872871
2024-09-01 02:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 02:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 02:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 03:00:00,TH0,0,1.2,0.5919680112190686,0.33312845825511606,0.9250964694741847
2024-09-01 03:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 03:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 03:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 04:00:00,TH0,0,1.2,0.5732491281367637,0.3197320957140267,0.8929812238507904
2024-09-01 04:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 04:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 04:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 05:00:00,TH0,0,1.2,0.5524202351518642,0.31031997720346427,0.8627402123553285
2024-09-01 05:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 05:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 05:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 06:00:00,TH0,0,1.2,0.532502579938378,0.3131631599550595,0.8456657398934375
2024-09-01 06:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 06:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 06:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 07:00:00,TH0,0,1.2,0.6169534593064162,0.3314660041851053,0.9484194634915215
2024-09-01 07:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 07:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 07:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 08:00:00,TH0,0,1.2,0.609078686169138,0.3270789211637705,0.9361576073329085
2024-09-01 08:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 08:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 08:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 09:00:00,TH0,0,1.2,0.8041599881522403,0.34382295406821334,1.1479829422204537
2024-09-01 09:00:00,EMG_DG_1,1,0.18,0.0,0.0,0.0
2024-09-01 09:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 09:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 10:00:00,TH0,0,1.2,0.8743775308903572,0.32562246910964276,1.2
2024-09-01 10:00:00,EMG_DG_1,1,0.18,0.0,0.03958599543729907,0.03958599543729907
2024-09-01 10:00:00,EMG_DG_2,3,0.15,0.0,0.0,0.0
2024-09-01 10:00:00,EMG_DG_3,4,0.1,0.0,0.0,0.0
2024-09-01 11:00:00,TH0,0,1.2,0.9736311002449096,0.22636889975509034,1.2
2024-09-01 11:00:00,EMG_DG_1,1,0.18,0.0,0.004783933218221542,0.004783933218221542
