timestamp,action_type,target_type,target_id,priority,trigger_rule,recommended_action,supporting_units,risk_prob,loading,score,reason
2024-09-01 00:00:00,reserve_hold,critical_load_bus,4,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,"EMG_3,EMG_1",0.31966409040373356,0.6134320019219539,0.558550041354364,critical load bus 4 loss_of_supply_score=0.559
2024-09-01 00:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"BOOSTER,TH0",0.318677880080672,1.0,0.4816884544337617,"bus 6 vulnerability=0.482, served_ratio=0.000"
2024-09-01 00:00:00,local_generation_support,bus_area,4,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,EMG_1",0.31966409040373356,0.6134320019219539,0.47942281842361134,"bus 4 vulnerability=0.479, served_ratio=0.387"
2024-09-01 00:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,prepare nearest available generation support,"EMG_3,EMG_1",0.3141562038939203,1.0,0.4790362140715024,"bus 7 vulnerability=0.479, served_ratio=0.000"
2024-09-01 00:00:00,line_relief,line,L3,medium,high line risk + high relative loading,reduce corridor loading via redispatch or transfer,,0.685386023635881,0.0230772034874495,0.31966409040373356,"line L3 has risk=0.685, loading=0.023"
2024-09-01 01:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.31856036296933155,1.0,0.48154059634184726,"bus 6 vulnerability=0.482, served_ratio=0.000"
2024-09-01 01:00:00,local_generation_support,bus_area,8,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_1,EMG_2",0.3149060040791814,1.0,0.4790640166442042,"bus 8 vulnerability=0.479, served_ratio=0.000"
2024-09-01 01:00:00,local_generation_support,bus_area,9,medium,vulnerable area with curtailed or fragile supply,prepare nearest available generation support,"EMG_1,EMG_2",0.31347719775174865,1.0,0.4782733458326402,"bus 9 vulnerability=0.478, served_ratio=0.000"
2024-09-01 02:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.3170147398485625,1.0,0.48027378036960416,"bus 6 vulnerability=0.480, served_ratio=0.000"
2024-09-01 02:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_1,EMG_2",0.3091567345289478,1.0,0.4758738336164681,"bus 7 vulnerability=0.476, served_ratio=0.000"
2024-09-01 03:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"BOOSTER,TH0",0.3159128675293887,1.0,0.48016615995658735,"bus 7 vulnerability=0.480, served_ratio=0.000"
2024-09-01 03:00:00,local_generation_support,bus_area,8,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_1,EMG_2",0.3141408281542357,1.0,0.47820110245646374,"bus 8 vulnerability=0.478, served_ratio=0.000"
2024-09-01 03:00:00,line_relief,line,L3,medium,high line risk + high relative loading,reduce corridor loading via redispatch or transfer,,0.6839845612772343,0.0224999046002343,0.31874593666019163,"line L3 has risk=0.684, loading=0.022"
2024-09-01 04:00:00,local_generation_support,bus_area,9,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_2,EMG_1",0.314717601400256,1.0,0.4790695161103722,"bus 9 vulnerability=0.479, served_ratio=0.000"
2024-09-01 04:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,prepare nearest available generation support,"EMG_2,EMG_1",0.31336478704976084,1.0,0.47845640105762627,"bus 7 vulnerability=0.478, served_ratio=0.000"
2024-09-01 04:00:00,line_relief,line,L3,medium,high line risk + high relative loading,reduce corridor loading via redispatch or transfer,,0.6831226705522012,0.0219178691678519,0.31807097462099004,"line L3 has risk=0.683, loading=0.022"
2024-09-01 05:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.3147812549036085,1.0,0.4789648246957198,"bus 6 vulnerability=0.479, served_ratio=0.000"
2024-09-01 05:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_2,EMG_1",0.3083513449873512,1.0,0.475256911407845,"bus 7 vulnerability=0.475, served_ratio=0.000"
2024-09-01 06:00:00,local_generation_support,bus_area,9,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_2,EMG_1",0.315152225584716,1.0,0.47926598805850934,"bus 9 vulnerability=0.479, served_ratio=0.000"
2024-09-01 06:00:00,line_relief,line,L3,medium,high line risk + high relative loading,reduce corridor loading via redispatch or transfer,,0.6805998210308891,0.0273633274926177,0.3195717792451733,"line L3 has risk=0.681, loading=0.027"
2024-09-01 07:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.31325577215044215,1.0,0.47801995605367,"bus 6 vulnerability=0.478, served_ratio=0.000"
2024-09-01 07:00:00,local_generation_support,bus_area,8,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_2,EMG_1",0.313774079768541,1.0,0.4774246120103904,"bus 8 vulnerability=0.477, served_ratio=0.000"
