label_method,warmup_on,gate_reg_on,risk_weight_on,n,val_mae_mean,val_mae_std,val_rmse_mean,best_val_mse_mean,val_high_risk_mae_mean,gate_mean_mean,wall_seconds_mean
c3po_ref,True,True,False,5,0.023614803074407532,0.007396809588043946,0.03664666414371191,0.0015068998327478766,0.08364784923883585,0.9999605478511917,0.0
c3po_ref,True,True,True,5,0.024238762509987945,0.0031958660834203122,0.03536772692282318,0.0012560475151985884,0.0970038350384969,0.9999543767836359,0.0
c3po_ref,False,True,True,5,0.02466028043008974,0.003866826086058495,0.03524518300664332,0.0012703622924163938,0.09332485691859171,0.9999419619639716,0.0
c3po_ref,True,False,False,5,0.024868667790186448,0.0075695468384818125,0.03628036406037809,0.0014578585454728455,0.07636329806767977,0.999959939883815,0.0
c3po_ref,False,False,True,5,0.025155270010035376,0.002792982779066988,0.03450074703985265,0.0012143767322413622,0.08100663125514984,0.9999418550067478,0.0
c3po_ref,True,False,True,5,0.025498769061400018,0.0021563335155692096,0.03581345722600232,0.0012918707565404476,0.09307225014154727,0.9999662902620103,0.0
c3po_ref,False,True,False,5,0.02780199939229836,0.011159453216954513,0.040982336007572985,0.002161909616552293,0.0821441966180618,0.9999560578001871,0.0
c3po_ref,False,False,False,5,0.029827709955473743,0.015514486745182797,0.04427164188597435,0.0026764488429762423,0.08202392051999385,0.9999658728639285,0.0
wang_qmc,False,False,False,5,0.37772008588819794,0.026975698716695633,0.45062160626636294,0.20307399332523346,0.23080284376939136,0.09531965760721099,0.0
wang_qmc,False,False,True,5,0.377720086032694,0.02697569891447088,0.45062160625967707,0.20307399034500123,0.23080284401774404,0.09531965824878878,0.0
wang_qmc,False,True,True,5,0.3777207514733979,0.026976435519845396,0.4506215785817055,0.2030739665031433,0.23080438603957493,0.09532034647547535,0.0
wang_qmc,False,True,False,5,0.3777207530267311,0.02697643476800694,0.45062157951053045,0.20307396352291107,0.23080438817540805,0.09532034676522017,0.0
wang_qmc,True,False,False,5,0.37786537889278293,0.027030225336821135,0.45060261468975443,0.2030567705631256,0.2311271586517493,0.09542072630590863,0.0
wang_qmc,True,False,True,5,0.37786537983200763,0.027030226798658987,0.45060261577823935,0.2030567705631256,0.231127159545819,0.09542072667843766,0.0
wang_qmc,True,True,True,5,0.3778655970096588,0.027030421437525383,0.450602888293116,0.20305700302124025,0.23112735986709598,0.09539014142420557,0.0
wang_qmc,True,True,False,5,0.3778655974792712,0.02703041985214863,0.4506028886247532,0.20305700600147247,0.23112736026446026,0.09539014140350952,0.0
