timestamp,model,line_id,from_bus,to_bus,v_surface_ms,p_tower,p_span,p_line,towers,spans,design_line_load_n,design_tower_load_kn
2024-09-01 00:00:00,schloemer,L0,1,2,37.01909204228125,0.0055142587208625304,0.9229791158390246,1.0,10,24,8112.648340000001,114.5003145
2024-09-01 00:00:00,schloemer,L1,2,3,37.274636485413914,0.0015695285114081248,0.8998072139690747,1.0,16,37,8400.64834,124.1003145
2024-09-01 00:00:00,schloemer,L2,3,4,37.57481592643646,0.058260600346875746,0.9743925018030332,0.9999999908033856,3,5,7714.8483400000005,101.2403145
2024-09-01 00:00:00,schloemer,L3,4,5,37.860764674532,0.0731817408657165,0.9799075165119305,0.9999999973929351,3,5,7705.8483400000005,100.9403145
2024-09-01 00:00:00,schloemer,L4,5,6,38.13575325964681,0.042337878244101845,0.9773030887524676,1.0,6,13,7882.24834,106.8203145
2024-09-01 00:00:00,schloemer,L5,7,8,37.94958952185988,0.03334833487686095,0.9726169524263273,1.0,7,14,7905.648340000001,107.6003145
2024-09-01 00:00:00,schloemer,L6,8,9,37.89807648496561,0.08901653231251816,0.9820831294883212,0.9999952268239143,2,3,7662.648340000001,99.5003145
2024-09-01 00:00:00,schloemer,L7,9,10,38.02064873030353,0.06967803701755915,0.9809488062177326,0.9999999999641849,4,6,7743.648340000001,102.2003145
2024-09-01 00:00:00,schloemer,L8,10,11,37.96447817805281,0.09207623851354574,0.9829510506366159,0.9999959150040792,2,3,7664.44834,99.5603145
2024-09-01 00:00:00,schloemer,L9,3,8,37.599023776238134,0.03445176161225272,0.968306186302608,1.0,5,11,7839.04834,105.3803145
2024-09-01 00:00:00,schloemer,L10,12,13,36.2167161635401,0.00010540019513982646,0.6797273211476631,1.0,17,41,8866.29956,132.982493
2024-09-01 00:00:00,schloemer,L11,13,14,37.131999907330915,0.002017848395009292,0.8695992890914344,1.0,11,25,8524.29956,121.582493
2024-09-01 00:00:00,schloemer,L12,6,7,38.23836129747782,0.11512158907725267,0.9867728293813547,0.9999981879588097,2,3,7648.24834,99.0203145
